user_id,username,display_name,bio,created_date,is_banned,has_verified_badge,badges_count,friends_count,followers_count,following_count,groups_count,groups,avatar_url,last_online,premium_status,account_age_days,url
3805021713,pedrocirino_334,pedrocirino_334,,2022-08-14T20:18:49.403Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,778.2744856707449,https://www.roblox.com/users/3805021713/profile
2286078341,LordVader112498,LordVader112498,,2021-01-11T02:28:14.68Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1359.0179513783257,https://www.roblox.com/users/2286078341/profile
1767284561,adddyyxj,adddyyxj,,2020-07-18T20:03:22.153Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1535.2852243575674,https://www.roblox.com/users/1767284561/profile
1886395973,kityBella0_0,kityBella0_0,,2020-09-12T17:58:08.493Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1479.3721965943607,https://www.roblox.com/users/1886395973/profile
3510417312,mohab128444,mohab128444,,2022-04-30T15:35:42.93Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,884.471113716604,https://www.roblox.com/users/3510417312/profile
3867675288,AseeL_h89,AseeL_h89,,2022-09-05T08:44:58.177Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,756.7563496738203,https://www.roblox.com/users/3867675288/profile
2761269545,Liah8051,Liah8051,,2021-07-28T01:14:22.047Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1161.0692709283696,https://www.roblox.com/users/2761269545/profile
3818905229,orbit000201,orbit000201,,2022-08-19T19:34:45.18Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,773.3051201821256,https://www.roblox.com/users/3818905229/profile
2669891494,Outer_banks2004,Outer_banks2004,,2021-06-23T19:49:38.48Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1195.2947892876907,https://www.roblox.com/users/2669891494/profile
1337868543,Jigthetwig,Jigthetwig,,2019-11-29T02:08:35.773Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1768.0316352835243,https://www.roblox.com/users/1337868543/profile
